t	Training data	Original data	Classical VP	Regularized VP
1.06	-0.047349905	-0.173398438	-0.071657848	-0.072178189
1.07	-0.962947374	-0.14598419	-0.048148119	-0.048652232
1.08	-0.070088265	-0.097625445	-0.004669884	-0.005156252
1.09	-0.365145084	-0.030328903	0.056866693	0.056399424
1.1	-0.248996005	0.053522153	0.134193009	0.133746002
1.11	-0.310586776	0.151228515	0.224739751	0.224313951
1.12	0.062777322	0.259841551	0.325700202	0.325296315
1.13	0.293839203	0.376233968	0.434097584	0.433716065
1.14	0.133305535	0.497173159	0.546854878	0.546495922
1.15	0.926037267	0.619395448	0.660865492	0.660529028
1.16	0.779715082	0.739679561	0.773063187	0.772748885
1.17	0.7735094	0.854917693	0.880489724	0.880197004
1.18	0.897523439	0.962182633	0.980358755	0.9800868
1.19	1.287775419	1.058789527	1.070114607	1.069862384
1.2	1.230815658	1.142351003	1.147484754	1.147251038
1.21	1.759244866	1.210824564	1.210524924	1.210308324
1.22	1.455545654	1.262551333	1.257655981	1.257454974
1.23	1.722483868	1.296285471	1.28769192	1.287504883
1.24	1.92740762	1.311213782	1.299858532	1.299683778
1.25	0.864753221	1.306965267	1.293802498	1.293638309
1.26	1.367332919	1.283610615	1.269590902	1.269435568
1.27	0.865676905	1.241651839	1.227701367	1.22755322
1.28	1.708035237	1.182002484	1.169003216	1.168860662
1.29	2.018942331	1.10595903	1.094730257	1.09459181
1.3	0.464591086	1.015164319	1.006445969	1.006310275
1.31	0.589651438	0.911563963	0.906002009	0.905867874
1.32	0.609748757	0.797356854	0.795491109	0.795357519
1.33	1.036056185	0.674940998	0.677195522	0.677061656
1.34	0.463163446	0.546855976	0.553532248	0.553397494
1.35	-0.178379858	0.415723376	0.426996347	0.426860306
1.36	0.523477723	0.284186583	0.300103622	0.299966109
1.37	-0.253725935	0.154851264	0.175333973	0.175195017
1.38	0.525262234	0.030227881	0.055076683	0.054936516
1.39	0.191876124	-0.087322538	-0.058421203	-0.058562155
1.4	0.396616449	-0.195638211	-0.163102282	-0.163243418
1.41	-1.284066336	-0.292800982	-0.257141044	-0.257281605
1.42	-0.104471531	-0.37717438	-0.33898009	-0.339119184
1.43	0.129898222	-0.447434635	-0.407359655	-0.407496283
1.44	-0.403112536	-0.502594092	-0.461339897	-0.461472977
1.45	-0.871906747	-0.542016662	-0.500315601	-0.500443999
1.46	-0.94096937	-0.565425108	-0.524023114	-0.524145671
1.47	-1.033768373	-0.57290018	-0.532539519	-0.532655084
1.48	-1.070720429	-0.564871765	-0.526274217	-0.52638167
1.49	-0.700747808	-0.54210242	-0.505953249	-0.506051532
1.5	-0.328363367	-0.505663797	-0.472596861	-0.472685001
